"","Credit_Limit","Income_Category","Customer_Age","Total_Trans_Ct","Months_on_book","Gender","Education_Level","Marital_Status"
"1",12691,"$60K - $80K",45,42,39,"M","High School","Married"
"2",8256,"Less than $40K",49,33,44,"F","Graduate","Single"
"3",3418,"$80K - $120K",51,20,36,"M","Graduate","Married"
"5",4716,"$60K - $80K",40,28,21,"M","Uneducated","Married"
"6",4010,"$40K - $60K",44,24,36,"M","Graduate","Married"
"9",22352,"$60K - $80K",37,24,36,"M","Uneducated","Single"
"10",11656,"$80K - $120K",48,32,36,"M","Graduate","Single"
"13",11751,"$80K - $120K",56,17,36,"M","College","Single"
"15",2436,"Less than $40K",57,29,48,"F","Graduate","Married"
"17",30367,"$80K - $120K",48,27,36,"M","Post-Graduate","Single"
"19",3193,"$40K - $60K",61,30,56,"M","High School","Married"
"21",20979,"$60K - $80K",47,27,42,"M","Doctorate","Divorced"
"23",4470,"$40K - $60K",41,18,33,"M","High School","Married"
"26",7768,"Less than $40K",41,22,28,"F","Graduate","Single"
"30",4785,"$40K - $60K",47,38,42,"M","High School","Married"
"32",2451,"$60K - $80K",53,26,48,"M","Uneducated","Married"
"33",8923,"$60K - $80K",41,24,36,"M","Graduate","Married"
"34",2650,"Less than $40K",53,28,38,"F","College","Married"
"35",12555,"$80K - $120K",58,24,49,"M","Graduate","Married"
"36",3520,"Less than $40K",55,43,36,"F","College","Single"
"37",3035,"Less than $40K",55,37,36,"F","Graduate","Married"
"38",15433,"Less than $40K",42,22,36,"F","High School","Married"
"41",32426,"$80K - $120K",45,28,41,"M","Graduate","Single"
"43",17304,"$40K - $60K",50,33,43,"F","College","Single"
"44",3906,"$60K - $80K",49,32,37,"M","High School","Married"
"46",34516,"$80K - $120K",49,28,30,"M","Uneducated","Single"
"47",2283,"$60K - $80K",56,27,45,"M","Doctorate","Married"
"48",2548,"$40K - $60K",59,27,52,"M","Doctorate","Married"
"49",19458,"$80K - $120K",46,27,40,"M","High School","Married"
"50",4745,"$80K - $120K",52,40,40,"M","College","Single"
"53",3171,"Less than $40K",66,38,54,"F","High School","Married"
"57",2802,"Less than $40K",49,40,36,"F","Graduate","Single"
"58",4458,"$40K - $60K",56,29,50,"M","Uneducated","Married"
"60",3336,"$60K - $80K",42,27,34,"M","High School","Single"
"63",5926,"$60K - $80K",39,28,33,"M","High School","Divorced"
"64",23957,"$120K +",44,26,32,"M","Post-Graduate","Single"
"65",14734,"$120K +",53,23,44,"M","High School","Single"
"66",34516,"$80K - $120K",51,32,38,"M","Uneducated","Single"
"67",6584,"$60K - $80K",57,35,52,"M","College","Married"
"68",2084,"Less than $40K",44,28,20,"F","Uneducated","Single"
"69",1687,"$60K - $80K",49,17,32,"M","Graduate","Married"
"70",25300,"$80K - $120K",50,15,38,"M","Doctorate","Married"
"71",34516,"$120K +",51,41,42,"M","Graduate","Single"
"72",2216,"Less than $40K",55,36,42,"F","Graduate","Married"
"74",22913,"$80K - $120K",42,35,37,"M","Uneducated","Married"
"75",24312,"$60K - $80K",44,24,35,"M","College","Single"
"76",5272,"$80K - $120K",53,33,36,"M","Graduate","Single"
"77",7000,"Less than $40K",44,23,36,"F","Graduate","Single"
"78",7038,"Less than $40K",37,57,29,"F","Uneducated","Single"
"79",2536,"$60K - $80K",49,23,30,"M","Graduate","Divorced"
"80",28904,"$80K - $120K",47,35,38,"M","Graduate","Married"
"81",8567,"$60K - $80K",47,41,37,"M","Graduate","Married"
"85",34516,"$80K - $120K",53,27,35,"M","Graduate","Divorced"
"86",3085,"$60K - $80K",52,35,47,"M","Graduate","Married"
"87",19040,"$120K +",53,31,35,"M","High School","Single"
"88",4026,"Less than $40K",43,32,35,"F","Uneducated","Single"
"89",12756,"$60K - $80K",44,14,31,"M","High School","Single"
"91",9930,"Less than $40K",51,21,36,"F","High School","Single"
"92",31302,"$80K - $120K",49,35,38,"M","High School","Single"
"93",6576,"$40K - $60K",45,34,36,"M","Graduate","Single"
"94",2664,"$80K - $120K",53,29,42,"M","Graduate","Single"
"96",1709,"Less than $40K",64,32,52,"M","Graduate","Married"
"97",3454,"$40K - $60K",45,30,35,"M","Graduate","Married"
"98",3789,"$40K - $60K",53,42,35,"M","Doctorate","Married"
"99",9689,"$120K +",56,19,50,"M","College","Married"
"103",2940,"$120K +",53,33,34,"M","Graduate","Married"
"104",3031,"Less than $40K",44,15,32,"F","Graduate","Single"
"106",8358,"Less than $40K",43,37,33,"F","Post-Graduate","Married"
"107",34516,"$120K +",53,21,36,"M","Post-Graduate","Single"
"108",14450,"$60K - $80K",44,30,36,"M","Uneducated","Married"
"111",8466,"$60K - $80K",57,32,39,"M","Graduate","Married"
"113",3263,"$60K - $80K",42,35,36,"M","High School","Divorced"
"114",1494,"Less than $40K",54,24,36,"F","Uneducated","Married"
"115",13551,"$80K - $120K",48,37,35,"M","Graduate","Single"
"116",18886,"$80K - $120K",49,18,36,"M","Graduate","Single"
"118",9964,"$80K - $120K",50,25,39,"M","High School","Single"
"119",24159,"$60K - $80K",49,24,36,"M","Doctorate","Married"
"120",5362,"Less than $40K",53,38,44,"F","High School","Married"
"121",34516,"$120K +",50,13,36,"M","Graduate","Single"
"122",3174,"Less than $40K",55,29,36,"F","Doctorate","Married"
"123",12262,"$80K - $120K",53,38,47,"M","High School","Married"
"124",3788,"$40K - $60K",47,47,41,"F","High School","Single"
"125",34516,"$120K +",55,42,42,"M","College","Single"
"126",2926,"$60K - $80K",47,24,36,"M","Graduate","Single"
"127",32090,"$120K +",58,30,52,"M","Graduate","Single"
"129",13532,"$40K - $60K",52,29,45,"M","High School","Single"
"131",2393,"Less than $40K",42,16,36,"F","Graduate","Married"
"133",19270,"$80K - $120K",57,28,46,"M","Graduate","Married"
"134",3710,"$80K - $120K",52,34,43,"M","Graduate","Married"
"135",3235,"Less than $40K",47,32,37,"M","Doctorate","Single"
"136",11749,"$40K - $60K",44,27,38,"F","Graduate","Single"
"137",7753,"$60K - $80K",53,26,36,"M","High School","Divorced"
"138",10408,"$60K - $80K",45,42,40,"M","College","Divorced"
"140",6205,"Less than $40K",39,19,27,"F","Post-Graduate","Single"
"143",14926,"$80K - $120K",54,25,34,"M","Graduate","Married"
"144",6335,"Less than $40K",59,20,36,"F","Graduate","Single"
